_natured (forming compound adjs)	adj\nစိတ္ သေဘာထားရိွေသာ။ good -natuerd.
assail	v\nျပင္းျပင္းထန္ထန္ အၾကိမ္ၾကိမ္ ရန္ျပဳသည္။ ေမးခြန္း မ်ားျဖင့္ ထိုးႏွက္သည္။ စကားျဖင့္ ပုတ္ခတ္ထိုးႏွက္သည္။
assailant	n\nကိုယ္္ထိလက္ေရာက္ ရန္ျပဳသူ။
assassin	n\nလုပ္္ၾကံသတ္ျဖတ္သူ။
assassinate	v\nလုပ္ၾကံ သတ္ျဖတ္သည္။
assassins	n[pl]\nေခါင္းေဆာင္သတ္ျဖတ္သူမ်ား
assault	n\nသဲၾကီးမဲၾကီး တိုက္ခိုက္မႈ။ ျပစ္မႈတြင္ အက်ံဳးဝင္ေသာ ကိုယ္ထိလက္ေရာက္ က်ဴးလြန္မႈ။
assault	v\nျပင္းထန္စြာ ကိုယ္ထိလက္ေရာက္ က်ဴးလြန္သည္။
assault and battery	n\n(law) ျခိမ္းေျခာက္ျပီး ကိုယ္ထိလက္ေရာက္ က်ဴးလြန္မႈ။
assault course	n\nအခက္အခဲအတားအဆီး ျဖတ္ေက်ာ္မႈ ေလ့က်င့္ေရးကြင္း။ ေခ်မႈန္းေရးေလ့က်င့္ကြင္း။
assaults	n[pl]\nလက္ေရာက္က်ဴး လြန္သူမ်ား
assay	n\nသတၱဳအရည္အေသြးစမ္းသပ္ျခင္း။
assay	v\nသတၱဳအရည္အေသြးစမ္းသပ္သည္။
asscessed	v[pt]\nသဲၾကီးမဲၾကီးတိုက္ခိုက္ခဲ့
asscessed	v[pp]\nသဲၾကီးမဲၾကီးတိုက္ခိုက္ခဲ့ျပီး
asscessing	v[ing]\nသဲၾကီးမဲၾကီးတိုက္ခိုက္ေန
assemblage	n\n(လူ၊ ပစၥည္း) အစုအေဝး။ (လူ၊ ပစၥည္း) စု(ေဝး)ျခင္း။
assemble	v\nစုေဝးသည္။ စုေဝးေစသည္။ (ပစၥည္းအစိတ္အပိုင္းတို႔ကို) တပ္ဆင္ သည္။
assembly	n\n(အေၾကာင္းကိစၥ တစ္ရပ္ အတြက္)စည္းေဝးျခင္း။
assent	n\nသေဘာတူညီမႈ။ သေဘာတူသည္။ ခြင့္ျပဳသည္။
assert	v\n(သူတစ္ပါးလက္ခံေအာင္) အခိုင္အမာ ဆိုသည္။ ရဲရဲတင္းတင္းေျပာသည္။
assertion	n\nျပင္းျပင္းထန္ထန္၊ ခိုင္ခိုင္မာမာ ျပဳမူေျပာဆိုျခင္း။ ဩဇာသံုးျခင္း။ မွန္ကန္ ေၾကာင္း အခိုင္အမာ တင္ျပသည့္အဆို။
assertions	n[pl]\nအခိုင္အမာ ေျပာဆိုျခင္းမ်ား
assertive	adj\nမိမိကိုယ္ကို ယံုၾကည္လြန္းေသာ။ ငါသိ ငါတတ္ေၾကာင္းျပေသာ။
assess	v\nအကဲျဖတ္သည္။ ခ်င့္တြက္ သည္။ ပမာဏကို ဆံုးျဖတ္ သည္၊ သတ္မွတ္သည္။ တန္ဖိုးျဖတ္သည္။
assessment	n\nခ်င့္ခ်ိန္ဆံုးျဖတ္ခ်က္။ ခ်င့္ခ်ိန္ ဆံုးျဖတ္ျခင္း။ အကဲျဖတ္ျခင္း။
assessments	n[pl]\nခ်င့္ခ်ိန္ဆံုးျဖတ္ခ်က္မ်ား
assessor	n\nတန္ဖိုးျဖတ္သူ။ရာျပတ္။အကဲျဖတ္သူ။
assessors	n[pl]\nတန္ဖိုးျဖတ္သူမ်ား
asset	n\nအဖိုးတန္ အရည္အခ်င္း။ ကြ်မ္းက်င္လိမၼာမႈ။
asset-stripping	n\nမ်က္ျဖဴ ဆိုက္ေနေသာ ကုမၸဏီတစ္ခုကို ေဈးႏိွမ္ဝယ္၍ အဖိုးတန္ ပိုင္ဆိုင္မႈ မ်ားကို တစ္ခုခ်င္း အျမတ္တင္ေရာင္းခ်၍ အျမတ္ထုတ္ျခင္း။ ကုမၸဏီအေရႏႊာျခင္း။
assets	n\nအေမြ
assets	n[pl]\nအေမြမ်ား
asseverate	vt\nေအာင္ျမင္ခံညားစြာေၾကညာသည္။
asseveration	n\nေအာင္ျမင္ခံညားစြာေၾကညာျခင္း။
assidulty	n\nစိုက္စိုက္မတ္မတ္လုပ္ျခင္း။
assiduous	adj\nေစ့ေစ့စပ္စပ္ႏွင့္ ၾကိဳးစားပမ္းစား လုပ္ကိုင္ေသာ။
assign	v\nအလုပ္တာဝန္ သတ္မွတ္ ခြေဝေပးသည္။ ပုဂၢိဳလ္၊ အဖဲြ႔အစည္း တစ္ခုခု လက္ေအာက္တြင္ ထားရိွသည္။ (law) လႊေျပာင္းသည္။
assign	n\nပစၥည္းထိန္း
assign	v[sg]\nပစၥည္းထိန္း
assignation	n\nလွ်ိဳ႕ဝွက္ခ်ိန္းေတြ႔ျခင္း။
assigned	v[pt]\nပစၥည္းထိန္းခဲ့
assigned	v[pp]\nပစၥည္းထိန္းခဲ့ျပီး
assigning	v[ing]\nပစၥည္းထိန္းေန
assignment	n\nအလုပ္။ တာဝန္။ တာဝန္ေပးအပ္ျခင္း။ ခန္႔အပ္ျခင္း။
assignments	n[pl]\nအိမ္စာမ်ား
assimilate	v\nစိတ္တြင္စဲြမွတ္သည္၊ လက္ခံသည္။ လက္သင့္ ခံသည္။
assist	v\nကူညီသည္။
assistance	n\nအကူအညီ။ အေထာက္အပံ့။
assistances	n[pl]\nအကူအညီမ်ား
assistant	n\nအကူ။ လက္ေထာက္။
assistant	adj\nလက္ေထာက္။
assistant professor	n\nလက္ေထာက္ပါေမာကၡ။
assistants	n[pl]\nလက္ေထာက္မ်ား
assistants	v[sg]\nကူညီ
assistantship	n\nပါေမာကၡကို လက္တိုလက္ေတာင္း ကူညီ ေသာ ဘဲြ႔ၾကိဳေက်ာင္းသားအား ေပးသည့္ေထာက္ပံ့ေၾကး။
assisted	v[pt]\nကူညီခဲ့
assisted	v[pp]\nကူညီခဲ့ျပီး
assisting	v[ing]\nကူညေန
assize	n\n(ယခင္)အဂၤလန္ႏွင့္ေဝလ စီရင္စုအသီးသီး တြင္ ပံုမွန္ရံုးထိုင္ေသာ တရားရံုး။
associate	v\n(အေတြးတြင္) ႏီွးႏႊယ္ၾကည့္သည္၊ ဆက္စပ္ၾကည့္သည္၊  ယွဉ္ ၾကည့္သည္။
associate	n\nစပ္တူလုပ္ဖက္။ လုပ္ေဖာ္ကိုင္ဖက္။
associate professor	n\n(US) တဲြဖက္ပါေမာကၡ။
associated	v[pt]\nႏီွးႏြယ္ၾကည့္ခဲ့
associated	v[pp]\nႏီွးႏြယ္ၾကည့္ခဲ့ျပီး
associates	v[sg]\nႏီွးႏြယ္ၾကည့္
associating	v[ing]\nႏီွးႏြယ္ၾကည့္ေန
association	n\nအသင္း။ အဖဲြ႔။
associations	n[pl]\nအသင္းအဖဲြ႔မ်ား
assorted	adj\nအမည္တူ အမ်ိဳးစံု။
assorted soup	n\n၁၂မ်ိဳး ဟင္းခ်ိဳ
assortment	n\nအမ်ိဳးမ်ိဳးေသာ ပစၥည္းစု။
assuage	v\nသက္သာေစသည္။ ခံသာေစသည္။
assume	v\n(အမွန္အျဖစ္) ယူဆသည္၊ လက္ခံသည္။ တာဝန္ယူသည္။ ပံုဖမ္းသည္။ အသြင္ေဆာင္သည္။ ဟန္ေဆာင္သည္။
assume	v[sg]\nယူဆ
assumed	adj\nအတုအေယာင္ျဖစ္ေသာ။
assumed	v[pt]\nယူဆခဲ့
assumed	v[pp]\nယူဆခဲ့ျပီး
assuming	v[ing]\nယူဆေန
assumption	n\n(အမွန္အျဖစ္) ယူဆခ်က္၊ လက္ခံမႈ။ တာဝန္ ယူျခင္း။
assumptions	n[pl]\nယူဆခ်က္မ်ား
assurance	n\n(မိမိကိုယ္မိမိ) ယံုၾကည္စိတ္ခ်မႈ။ အာမခံ။ အသက္အာမခံ။ (ေသခ်ာ ေၾကာင္း) အာမခံခ်က္။
assurances	n[pl]\nအာမခံမ်ား
assure	v\nအခိုင္အမာ ေျပာသည္။ (Brit) (အသက္)အာမခံထားသည္။
assured	adj\nယံုၾကည္စိတ္ခ် ေသာ။ ေသခ်ာေပါက္ (ျဖစ္လာမည့္)။
assured	v[pt]\nအခိုင္အမာေျပာခဲ့
assured	v[pp]\nအခိုင္အမာေျပာခဲ့ျပီး
assuredly	adv\nေသေသခ်ာခ်ာ။ ခိုင္ခိုင္မာမာ။
assures	v[sg]\nအခိုင္အမာေျပာ
assuring	v[ing]\nအခိုင္အမာေျပာေန
aster	n\nေမျမိဳ႕ပန္း။
asterisk	n\nခေရပြင့္သေကၤတ။ (*) ။
astern	adv\nပဲ့ပိုင္း၌။ ပဲ့ပိုင္းသို႔။ (သေဘၤာ) ေနာက္သို႔။
asteroid	n\nျဂိဳဟ္သိမ္ျဂိဳဟ္မႊား။
asteroids	n[pl]\nျဂိဳဟ္မႊားမ်ား
asters	n[pl]\nေမျမိဳ႕ပန္းမ်ား
asthma	n\nပန္းနာ။
asthmatic	adj\nပန္းနာသည္။
asthmatic	n\nပန္းနာသည္။
astigmatism	n\nမ်က္စိဆံုခ်က္မညီျခင္း။
astir	adv\nရုတ္ရုတ္သဲသဲ။
astir	adj\nရုတ္ရုတ္သဲသဲ။
astonish	v\nအလြန္အံ့အားသင့္ေစသည္။
astonished	adj\nအလြန္အံ့အားသင့္ေသာ။
astonishing	adj\nအံ့အားသင့္ဖြယ္ေကာင္းေသာ။
astonishingly	adv\nအံ့အားသင့္ဖြယ္ေကာင္းစြာ။
astonishment	n\nအလြန္အံ့ဩျခင္း။
astound	v\nအလြန္အံ့အားသင့္ေစသည္။ မွင္တက္မေစသည္။
astounding	adj\nအလြန္အံ့အားသင့္ဖြယ္ေကာင္းေသာ။
astrakhan	n\nသိုးငယ္အေမြး။ ယင္းအေမြးတု။
astray	adv\nလမ္းေၾကာင္းမွလဲြလ်က္၊ ေသြဖည္လ်က္။
astride	adv\nခြလ်က္။ ေျခကားလ်က္။
astringent	adj\nမညွာတာေသာ။ ျပင္းထန္ ေသာ။ (medical) အေရျပား ကို ေစ့၍ ေသြးတိတ္ ေစေသာ။
astrologer	n\nနကၡတ္ေဗဒင္ဆရာ။
astrologers	n[pl]\nေဗဒင္ဆရာမ်ား
astrological	adj\nနကၡတ္ေဗဒင္ႏွင့္ ဆိုင္ေသာ။
astrology	n\nနကၡတ္ေဗဒင္။
astronaut	n\nအာကာသယာဉ္မႉး။
astronauts	n[pl]\nအာကာသယာဉ္မူးမ်ား
astronomer	n\nနကၡတၱေဗဒပညာရွင္။
astronomic	adj\nကိန္းဂဏန္း အလြန္ၾကီးေသာ။
astronomical	adj\nနကၡတၱေဗဒႏွင္ ဆိုင္ေသာ။
astronomically	adv\nနကၡတ္ပညာႏွင့္ဆိုင္စြာ။
astronomy	n\nနကၡတၱေဗဒ။
astrophysics	n\nၾကယ္၊ ျဂိဳဟ္တို႔၏ ရူပ၊ ဓာတုဆိုင္ရာ ဖဲြ႔စည္းပံုကို ေလ့လာသည့္ သိပၸံပညာရပ္။ ရူပနကၡတၱေဗဒ။ (နကၡတၱေဗဒ၏ ဘာသာရပ္ခဲြျဖစ္သည္။)
astute	adj\nလာဘ္ျမင္ေသာ။ လ်င္ေသာ။
astutely	adv\nလူရည္လည္စြာ။
astuteness	n\nလူရည္လည္ျခင္း။
asunder	adv\nတကဲြတျပား။ အစိတ္စိတ္ အျမႊာျမႊာ။
asylum	n\n(ႏိုင္ငံေရး) ခိုလံႈခြင့္။ စိတၱဇေဆးရံု။
asylum seeker	n\nႏိုင္ငံေရးခိုလံႈခြင့္ေတာင္းသူ။
asymmetric	adj\n(အရြယ္အစား၊ ပံုပန္းသြင္ျပင္ စသည္)  အခ်ိဳး မညေသာ။
at	prep\n(ေနရာျပပုဒ္)။ ၌။ မွာ။ တြင္။ ဝယ္။
at  behest	idm\nအမိန္႔အရ။ ေမတၱာရပ္ခံခ်က္အရ။
at  the end of one's tether	idm\nစိတ္ကုန္သြားလ်က္။ ေျခကုန္
at a canter	idm\nအပန္းမၾကီးဘဲ။ သက္ေသာင့္သက္သာ။
at a glance	idm\nတစ္ခ်က္ၾကည့္ရံုမွ်ျဖင့္။
at a guess	idm\nစိတ္မွန္းအရ။
at a loose end	idm\nလုပ္စရာမရိွ။ အားသည္။
at a loss	idm\nဘာလုပ္ရ၊ ဘာေျပာရမွန္းမသိ ျဖစ္ေနသည္။ ေၾကာင္သြားသည္။
at a low ebb	idm\nက်ဆင္းေသာ။ (စိတ္ဓာတ္) က်ေသာ။
at any price	idm\nမည္သည့္နည္းျဖင့္မဆို။ ဘာပေပးရေပးရ။ အေသရရအရွင္ရရ။
at bay	idm\nေခ်ာင္ပိတ္မိ၍ ေၾကာက္ကန္ကန္ ခံခ်ရမည့္ အေျခအေန။
at cross purposes	idm\nတစ္ေယာက္တစ္ေပါက္။
at daggers drawn  (with sb)	idm\nမတည့္။ မ်က္မုန္း က်ိဳး။ ရွားေစာင္းေစးႏွင့္ မ်က္ေခ်း။
at first glance/ sight	idm\nျမင္ျမင္ခ်င္း။အေပၚယံအားျဖင့္။
at half-mast	idm\nအလံတိုင္ဝက္တင္လ်က္။
